id,name,longitude,latitude,Score_Population_Density,Score_Footfall,Score_Transit,Score_Traffic,Score_Rent_Value,Score_Parking,Score_Night_Activity,Score_Walkability,Score_Safety,Score_POI_Synergy
194,Ganesh Nagar,77.28304248,28.62025783,95,81.89890967,93.12347515,84,65.34290127,43.38267506,85.98203072,81.73976872,48.54228869,77.17556832
75,Sarai Kale Khan,77.26289705,28.58895188,95,78.94100083,95,84,65.20342364,44.83678925,82.16776378,83.58497839,49.24443064,79.32724003
2,Kamla Nagar,77.20385045,28.68068547,95,86.88682854,95,84,20.1162054,60.59486757,87.84656772,82.83260321,58.82282934,78.27736843
76,Sundar Nagar,77.24938492,28.60245914,95,75.09082916,94.35771212,84,56.08297613,37.39180104,89.32072055,91.40217755,45.49801372,80.57143846
204,Pandav Nagar,77.26995427,28.61112308,95,80.06720683,93.46044587,84,69.65761276,46.9747049,81.37790246,80.81496508,45.88326846,79.76242613
83,Lodi Colony,77.22502734,28.58518827,95,79.66695012,93.11099918,84,61.38240002,40.09422128,89.24914604,87.65350979,44.9122914,79.26003253
54,Shahdara,77.25433079,28.68772106,95,85.25232042,93.07543497,84,62.89603991,49.4329932,79.87991725,70.22312441,55.11162213,76.29090241
77,Nizamuddin West,77.24317573,28.58949555,95,78.74928514,93.77242344,84,55.45978753,36.42249369,86.26423094,92.27254722,45.57948408,80.61716877
317,Vikram Nagar,77.24682338,28.63342989,95,85.86589166,95,84,26.07094036,42.85651618,88.00942438,90.18157937,54.63524591,82.3704601
36,Daya Basti,77.17156301,28.66983771,95,77.34568617,95,84,64.54645374,59.5091196,72.49818485,72.04216256,52.44082881,73.58816771
191,New Ashok Nagar,77.30694231,28.59234812,95,81.2692241,95,72,63.5591462,58.11769788,81.43800876,78.52832195,47.46734668,81.57464757
17,Mori Gate,77.22711615,28.66265891,95,86.28698208,95,84,24.98888153,42.810698,86.48978231,89.83077698,58.35003646,79.12004528
219,Sujan Singh Park,77.22258727,28.60142038,95,75.32694893,95,84,56.80313583,36.77428769,89.96350013,84.9051347,46.60306354,76.94717347
217,Tughlak Road Area,77.2114368,28.59736124,95,76.37855897,95,84,61.53374972,42.76447446,82.27736213,85.63962645,45.79965242,75.26941123
81,Sri Niwaspuri,77.25642366,28.5646962,95,67.79052363,94.11310366,84,65.90753605,51.92161342,81.53409342,86.28429667,47.76397361,81.96421573
290,Ip Estate,77.24895442,28.62183449,95,85.85528551,95,84,26.0161182,40.60660094,87.61807013,92.52549013,54.71186259,79.00287557
305,Tri Nagar,77.1552505,28.68094018,95,82.43500791,95,84,65.01324849,49.65414548,77.09121096,68.81301194,55.67677501,72.79102586
167,Vasant Vihar,77.15889024,28.56038044,95,68.05887835,87.08230154,84,68.01877442,58.88544895,89.25756025,84.17944412,51.87127661,73.90409517
19,Shakti Nagar,77.19669596,28.67712492,95,87.26362862,95,84,27.02464971,48.54905552,82.91815097,83.76018204,58.00327402,77.8550878
180,Munirka,77.17403184,28.55309541,95,68.44895722,87.32923868,84,65.08903177,60.94340805,87.91923297,88.12219022,50.97674594,67.02254181
5,Jharoda,77.2057284,28.73029186,95,81.42784744,95,84,62.19908252,61.07650558,59.81261902,77.76548472,55.03305256,66.59492263
188,Patparganj,77.30643614,28.63271398,95,82.23326956,91.90056264,84,62.45762146,57.83386861,67.14405244,79.7622086,47.9714818,75.61577336
159,Central Secretariat,77.21390032,28.61367583,95,76.03327532,95,84,62.60852213,38.53251409,84.43157121,85.23735267,45.66478808,81.42401658
157,Connaught Place,77.2163225,28.62888624,95,85.74204431,95,84,29.33875018,44.56501398,83.70115501,80.65293815,59.30913071,81.25567982
98,Tughlakabad,77.27326682,28.51057846,95,71.63163043,93.07408168,78,68.68545018,60.20505885,86.73701292,87.42861287,46.92359212,75.55236725
105,Pushp Vihar,77.22341669,28.52462643,95,70.81389613,88.27506029,78,68.63548781,60.68521682,85.4199175,80.81194872,45.02425018,80.7875493
196,Khichripur,77.31642922,28.62167379,95,76.17658785,92.03602781,84,58.23512729,51.04308101,84.62948782,75.70631645,44.04126777,77.11249588
212,Safdarjung Airport Area,77.20618921,28.58425906,95,76.45504068,92.87195775,84,59.90549742,37.5224102,89.13841999,83.51511272,44.71934656,80.59159063
289,Rajinder Nagar,77.18292812,28.6384033,95,85.55970107,95,84,29.51403342,42.10672258,85.94837264,86.03323707,59.59532927,76.33885626
189,Preet Vihar,77.29294002,28.63642392,95,77.78604374,91.42349186,84,64.2677086,57.48360785,76.70248286,71.8573875,48.50706282,80.56924916
301,Gopalpur Village,77.21125628,28.72085692,95,87.45121621,95,84,27.80525515,59.73825683,78.59032307,75.49302199,58.28851966,80.34208473
47,Zakhira,77.15632764,28.6617252,95,82.10163346,95,84,67.22237671,50.14709529,76.15508688,72.25021474,53.86847149,67.29598161
58,Gokalpuri,77.28843719,28.70632192,95,80.64993782,87.12046647,84,58.70654851,69.78496181,56.95897065,75.38754722,56.95426571,73.90855535
89,East Of Kailash,77.25175906,28.55549947,95,71.55867047,92.88692095,84,63.68013113,50.27041464,86.15191768,86.64658101,44.24035471,80.53658918
73,Nizamuddin East,77.25008375,28.59071784,95,82.25083508,93.31667782,84,64.7548853,35.57780561,84.07665934,81.62267058,45.32302558,78.32620083
43,Sector 14a,77.30039097,28.58323191,95,78.95536244,95,72,68.06453686,59.22757191,81.06896668,75.74941857,45.05294976,76.28292325
